,countyFIPS,County Name_x,Month_Year_x,Cases,Month_c,Month,Year,County_FIPS,LAUS Code,State FIPS Code,County FIPS Code,County Name_y,State Abbreviation,Month_Year_y,Labor Force,Employed,Unemployed,Unemployment Rate (%)
0,34001,Atlantic County,Feb-20,0,Feb,2,20,001,CN3400100000000,34,001,Atlantic County, NJ,Feb,121288,113570,7718,6.4
1,34001,Atlantic County,Mar-20,164,Mar,3,20,001,CN3400100000000,34,001,Atlantic County, NJ,Mar,120344,113532,6812,5.7
2,34001,Atlantic County,Apr-20,11294,Apr,4,20,001,CN3400100000000,34,001,Atlantic County, NJ,Apr,122476,81068,41408,33.8
3,34001,Atlantic County,May-20,51979,May,5,20,001,CN3400100000000,34,001,Atlantic County, NJ,May,123110,83049,40061,32.5
4,34001,Atlantic County,Jun-20,76442,Jun,6,20,001,CN3400100000000,34,001,Atlantic County, NJ,Jun,130190,85419,44771,34.4
5,34001,Atlantic County,Jul-20,95780,Jul,7,20,001,CN3400100000000,34,001,Atlantic County, NJ,Jul,128751,97204,31547,24.5
6,34001,Atlantic County,Aug-20,110715,Aug,8,20,001,CN3400100000000,34,001,Atlantic County, NJ,Aug,123426,101307,22119,17.9
7,34001,Atlantic County,Sep-20,117629,Sep,9,20,001,,,,,,,,,,
8,34001,Atlantic County,Oct-20,144160,Oct,10,20,001,,,,,,,,,,
9,34001,Atlantic County,Nov-20,143979,Nov,11,20,001,,,,,,,,,,
10,34003,Bergen County,Feb-20,0,Feb,2,20,003,CN3400300000000,34,003,Bergen County, NJ,Feb,493995,477262,16733,3.4
11,34003,Bergen County,Mar-20,15881,Mar,3,20,003,CN3400300000000,34,003,Bergen County, NJ,Mar,494799,480046,14753,3
12,34003,Bergen County,Apr-20,322111,Apr,4,20,003,CN3400300000000,34,003,Bergen County, NJ,Apr,477518,403413,74105,15.5
13,34003,Bergen County,May-20,534325,May,5,20,003,CN3400300000000,34,003,Bergen County, NJ,May,485218,412954,72264,14.9
14,34003,Bergen County,Jun-20,565409,Jun,6,20,003,CN3400300000000,34,003,Bergen County, NJ,Jun,493158,411987,81171,16.5
15,34003,Bergen County,Jul-20,618411,Jul,7,20,003,CN3400300000000,34,003,Bergen County, NJ,Jul,497668,425789,71879,14.4
16,34003,Bergen County,Aug-20,653323,Aug,8,20,003,CN3400300000000,34,003,Bergen County, NJ,Aug,492806,437684,55122,11.2
17,34003,Bergen County,Sep-20,661720,Sep,9,20,003,,,,,,,,,,
18,34003,Bergen County,Oct-20,734944,Oct,10,20,003,,,,,,,,,,
