,countyFIPS,County Name,Month_Year,Cases,year,month,Month_c,Year,County_FIPS
0,34001,Atlantic County,2020-02-29,0,2020,2,Feb,20,001
21,34001,Atlantic County,2020-03-31,31,2020,3,Mar,20,001
42,34001,Atlantic County,2020-04-30,964,2020,4,Apr,20,001
63,34001,Atlantic County,2020-05-31,2214,2020,5,May,20,001
84,34001,Atlantic County,2020-06-30,2863,2020,6,Jun,20,001
105,34001,Atlantic County,2020-07-31,3364,2020,7,Jul,20,001
126,34001,Atlantic County,2020-08-31,3752,2020,8,Aug,20,001
1,34003,Bergen County,2020-02-29,0,2020,2,Feb,20,003
22,34003,Bergen County,2020-03-31,2909,2020,3,Mar,20,003
43,34003,Bergen County,2020-04-30,15610,2020,4,Apr,20,003
64,34003,Bergen County,2020-05-31,18272,2020,5,May,20,003
85,34003,Bergen County,2020-06-30,19423,2020,6,Jun,20,003
106,34003,Bergen County,2020-07-31,20472,2020,7,Jul,20,003
127,34003,Bergen County,2020-08-31,21600,2020,8,Aug,20,003
2,34005,Burlington County,2020-02-29,0,2020,2,Feb,20,005
23,34005,Burlington County,2020-03-31,202,2020,3,Mar,20,005
44,34005,Burlington County,2020-04-30,2690,2020,4,Apr,20,005
65,34005,Burlington County,2020-05-31,4627,2020,5,May,20,005
86,34005,Burlington County,2020-06-30,5168,2020,6,Jun,20,005
107,34005,Burlington County,2020-07-31,5781,2020,7,Jul,20,005
128,34005,Burlington County,2020-08-31,6395,2020,8,Aug,20,005
3,34007,Camden County,2020-02-29,0,2020,2,Feb,20,007
24,34007,Camden County,2020-03-31,228,2020,3,Mar,20,007
45,34007,Camden County,2020-04-30,3519,2020,4,Apr,20,007
66,34007,Camden County,2020-05-31,6510,2020,5,May,20,007
87,34007,Camden County,2020-06-30,7317,2020,6,Jun,20,007
108,34007,Camden County,2020-07-31,8301,2020,7,Jul,20,007
129,34007,Camden County,2020-08-31,9157,2020,8,Aug,20,007
4,34009,Cape May County,2020-02-29,0,2020,2,Feb,20,009
25,34009,Cape May County,2020-03-31,12,2020,3,Mar,20,009
46,34009,Cape May County,2020-04-30,323,2020,4,Apr,20,009
67,34009,Cape May County,2020-05-31,617,2020,5,May,20,009
88,34009,Cape May County,2020-06-30,712,2020,6,Jun,20,009
109,34009,Cape May County,2020-07-31,806,2020,7,Jul,20,009
130,34009,Cape May County,2020-08-31,905,2020,8,Aug,20,009
5,34011,Cumberland County,2020-02-29,0,2020,2,Feb,20,011
26,34011,Cumberland County,2020-03-31,18,2020,3,Mar,20,011
47,34011,Cumberland County,2020-04-30,723,2020,4,Apr,20,011
68,34011,Cumberland County,2020-05-31,2298,2020,5,May,20,011
89,34011,Cumberland County,2020-06-30,2963,2020,6,Jun,20,011
110,34011,Cumberland County,2020-07-31,3215,2020,7,Jul,20,011
131,34011,Cumberland County,2020-08-31,3573,2020,8,Aug,20,011
6,34013,Essex County,2020-02-29,0,2020,2,Feb,20,013
27,34013,Essex County,2020-03-31,1900,2020,3,Mar,20,013
48,34013,Essex County,2020-04-30,13682,2020,4,Apr,20,013
69,34013,Essex County,2020-05-31,17629,2020,5,May,20,013
90,34013,Essex County,2020-06-30,18758,2020,6,Jun,20,013
111,34013,Essex County,2020-07-31,19488,2020,7,Jul,20,013
132,34013,Essex County,2020-08-31,20324,2020,8,Aug,20,013
7,34015,Gloucester County,2020-02-29,0,2020,2,Feb,20,015
28,34015,Gloucester County,2020-03-31,114,2020,3,Mar,20,015
49,34015,Gloucester County,2020-04-30,1251,2020,4,Apr,20,015
70,34015,Gloucester County,2020-05-31,2234,2020,5,May,20,015
91,34015,Gloucester County,2020-06-30,2578,2020,6,Jun,20,015
112,34015,Gloucester County,2020-07-31,3059,2020,7,Jul,20,015
133,34015,Gloucester County,2020-08-31,3685,2020,8,Aug,20,015
8,34017,Hudson County,2020-02-29,0,2020,2,Feb,20,017
