,countyFIPS,County Name_x,Month_Year_x,Cases,year,month,Month_c,Year,County_FIPS,LAUS Code,State FIPS Code,County FIPS Code,County Name_y,State Abbreviation,Month_Year_y,Labor Force,Employed,Unemployed,Unemployment Rate (%)
0,34001,Atlantic County,2020-02-29,0,2020,2,Feb,20,001,CN3400100000000,34,001,Atlantic County, NJ,Feb,121288,113570,7718,6.4
1,34001,Atlantic County,2020-03-31,31,2020,3,Mar,20,001,CN3400100000000,34,001,Atlantic County, NJ,Mar,120344,113532,6812,5.7
2,34001,Atlantic County,2020-04-30,964,2020,4,Apr,20,001,CN3400100000000,34,001,Atlantic County, NJ,Apr,122476,81068,41408,33.8
3,34001,Atlantic County,2020-05-31,2214,2020,5,May,20,001,CN3400100000000,34,001,Atlantic County, NJ,May,123110,83049,40061,32.5
4,34001,Atlantic County,2020-06-30,2863,2020,6,Jun,20,001,CN3400100000000,34,001,Atlantic County, NJ,Jun,130190,85419,44771,34.4
5,34001,Atlantic County,2020-07-31,3364,2020,7,Jul,20,001,CN3400100000000,34,001,Atlantic County, NJ,Jul,128751,97204,31547,24.5
6,34001,Atlantic County,2020-08-31,3752,2020,8,Aug,20,001,CN3400100000000,34,001,Atlantic County, NJ,Aug,123426,101307,22119,17.9
7,34003,Bergen County,2020-02-29,0,2020,2,Feb,20,003,CN3400300000000,34,003,Bergen County, NJ,Feb,493995,477262,16733,3.4
8,34003,Bergen County,2020-03-31,2909,2020,3,Mar,20,003,CN3400300000000,34,003,Bergen County, NJ,Mar,494799,480046,14753,3
9,34003,Bergen County,2020-04-30,15610,2020,4,Apr,20,003,CN3400300000000,34,003,Bergen County, NJ,Apr,477518,403413,74105,15.5
10,34003,Bergen County,2020-05-31,18272,2020,5,May,20,003,CN3400300000000,34,003,Bergen County, NJ,May,485218,412954,72264,14.9
11,34003,Bergen County,2020-06-30,19423,2020,6,Jun,20,003,CN3400300000000,34,003,Bergen County, NJ,Jun,493158,411987,81171,16.5
12,34003,Bergen County,2020-07-31,20472,2020,7,Jul,20,003,CN3400300000000,34,003,Bergen County, NJ,Jul,497668,425789,71879,14.4
13,34003,Bergen County,2020-08-31,21600,2020,8,Aug,20,003,CN3400300000000,34,003,Bergen County, NJ,Aug,492806,437684,55122,11.2
14,34005,Burlington County,2020-02-29,0,2020,2,Feb,20,005,CN3400500000000,34,005,Burlington County, NJ,Feb,235262,226480,8782,3.7
15,34005,Burlington County,2020-03-31,202,2020,3,Mar,20,005,CN3400500000000,34,005,Burlington County, NJ,Mar,236872,229286,7586,3.2
16,34005,Burlington County,2020-04-30,2690,2020,4,Apr,20,005,CN3400500000000,34,005,Burlington County, NJ,Apr,230986,200040,30946,13.4
17,34005,Burlington County,2020-05-31,4627,2020,5,May,20,005,CN3400500000000,34,005,Burlington County, NJ,May,233012,203531,29481,12.7
18,34005,Burlington County,2020-06-30,5168,2020,6,Jun,20,005,CN3400500000000,34,005,Burlington County, NJ,Jun,234617,201838,32779,14
19,34005,Burlington County,2020-07-31,5781,2020,7,Jul,20,005,CN3400500000000,34,005,Burlington County, NJ,Jul,236554,207565,28989,12.3
20,34005,Burlington County,2020-08-31,6395,2020,8,Aug,20,005,CN3400500000000,34,005,Burlington County, NJ,Aug,235923,214027,21896,9.3
21,34007,Camden County,2020-02-29,0,2020,2,Feb,20,007,CN3400700000000,34,007,Camden County, NJ,Feb,258589,246814,11775,4.6
22,34007,Camden County,2020-03-31,228,2020,3,Mar,20,007,CN3400700000000,34,007,Camden County, NJ,Mar,260261,249933,10328,4
23,34007,Camden County,2020-04-30,3519,2020,4,Apr,20,007,CN3400700000000,34,007,Camden County, NJ,Apr,259701,217661,42040,16.2
24,34007,Camden County,2020-05-31,6510,2020,5,May,20,007,CN3400700000000,34,007,Camden County, NJ,May,260938,221249,39689,15.2
25,34007,Camden County,2020-06-30,7317,2020,6,Jun,20,007,CN3400700000000,34,007,Camden County, NJ,Jun,263563,219741,43822,16.6
26,34007,Camden County,2020-07-31,8301,2020,7,Jul,20,007,CN3400700000000,34,007,Camden County, NJ,Jul,264660,226188,38472,14.5
27,34007,Camden County,2020-08-31,9157,2020,8,Aug,20,007,CN3400700000000,34,007,Camden County, NJ,Aug,262315,232788,29527,11.3
28,34009,Cape May County,2020-02-29,0,2020,2,Feb,20,009,CN3400900000000,34,009,Cape May County, NJ,Feb,41867,36790,5077,12.1
29,34009,Cape May County,2020-03-31,12,2020,3,Mar,20,009,CN3400900000000,34,009,Cape May County, NJ,Mar,41426,36903,4523,10.9
30,34009,Cape May County,2020-04-30,323,2020,4,Apr,20,009,CN3400900000000,34,009,Cape May County, NJ,Apr,42045,30715,11330,26.9
31,34009,Cape May County,2020-05-31,617,2020,5,May,20,009,CN3400900000000,34,009,Cape May County, NJ,May,43185,33438,9747,22.6
32,34009,Cape May County,2020-06-30,712,2020,6,Jun,20,009,CN3400900000000,34,009,Cape May County, NJ,Jun,46891,37438,9453,20.2
33,34009,Cape May County,2020-07-31,806,2020,7,Jul,20,009,CN3400900000000,34,009,Cape May County, NJ,Jul,47744,40454,7290,15.3
34,34009,Cape May County,2020-08-31,905,2020,8,Aug,20,009,CN3400900000000,34,009,Cape May County, NJ,Aug,47778,42404,5374,11.2
35,34011,Cumberland County,2020-02-29,0,2020,2,Feb,20,011,CN3401100000000,34,011,Cumberland County, NJ,Feb,66290,61756,4534,6.8
36,34011,Cumberland County,2020-03-31,18,2020,3,Mar,20,011,CN3401100000000,34,011,Cumberland County, NJ,Mar,66372,62405,3967,6
37,34011,Cumberland County,2020-04-30,723,2020,4,Apr,20,011,CN3401100000000,34,011,Cumberland County, NJ,Apr,67714,56567,11147,16.5
