id,County_Month,countyFIPS,County,Month_Year,Covid_Cases,year,month,Month_c,StateAbbr,LaborForce,Employed,Unemployed,Unemployment_Rate
101,Atlantic _Feb,34001,Atlantic ,20-Feb,0,2020,2,Feb, NJ,121288,113570,7718,6.4
102,Atlantic _Mar,34001,Atlantic ,20-Mar,31,2020,3,Mar, NJ,120344,113532,6812,5.7
103,Atlantic _Apr,34001,Atlantic ,20-Apr,964,2020,4,Apr, NJ,122476,81068,41408,33.8
104,Atlantic _May,34001,Atlantic ,20-May,2214,2020,5,May, NJ,123110,83049,40061,32.5
105,Atlantic _Jun,34001,Atlantic ,20-Jun,2863,2020,6,Jun, NJ,130190,85419,44771,34.4
106,Atlantic _Jul,34001,Atlantic ,20-Jul,3364,2020,7,Jul, NJ,128751,97204,31547,24.5
107,Atlantic _Aug,34001,Atlantic ,20-Aug,3752,2020,8,Aug, NJ,123426,101307,22119,17.9
108,Bergen _Feb,34003,Bergen ,20-Feb,0,2020,2,Feb, NJ,493995,477262,16733,3.4
109,Bergen _Mar,34003,Bergen ,20-Mar,2909,2020,3,Mar, NJ,494799,480046,14753,3
110,Bergen _Apr,34003,Bergen ,20-Apr,15610,2020,4,Apr, NJ,477518,403413,74105,15.5
111,Bergen _May,34003,Bergen ,20-May,18272,2020,5,May, NJ,485218,412954,72264,14.9
112,Bergen _Jun,34003,Bergen ,20-Jun,19423,2020,6,Jun, NJ,493158,411987,81171,16.5
113,Bergen _Jul,34003,Bergen ,20-Jul,20472,2020,7,Jul, NJ,497668,425789,71879,14.4
114,Bergen _Aug,34003,Bergen ,20-Aug,21600,2020,8,Aug, NJ,492806,437684,55122,11.2
115,Burlington _Feb,34005,Burlington ,20-Feb,0,2020,2,Feb, NJ,235262,226480,8782,3.7
116,Burlington _Mar,34005,Burlington ,20-Mar,202,2020,3,Mar, NJ,236872,229286,7586,3.2
117,Burlington _Apr,34005,Burlington ,20-Apr,2690,2020,4,Apr, NJ,230986,200040,30946,13.4
118,Burlington _May,34005,Burlington ,20-May,4627,2020,5,May, NJ,233012,203531,29481,12.7
119,Burlington _Jun,34005,Burlington ,20-Jun,5168,2020,6,Jun, NJ,234617,201838,32779,14
120,Burlington _Jul,34005,Burlington ,20-Jul,5781,2020,7,Jul, NJ,236554,207565,28989,12.3
121,Burlington _Aug,34005,Burlington ,20-Aug,6395,2020,8,Aug, NJ,235923,214027,21896,9.3
122,Camden _Feb,34007,Camden ,20-Feb,0,2020,2,Feb, NJ,258589,246814,11775,4.6
