Month,Covids,Unemployed,id,County_Month,countyFIPS,County,Month_Year,Covid_Cases,year,month,Month_c,Year,County_FIPS,State FIPS Code,County FIPS Code,County Name,State Abbreviation,Month_Year,Labor Force,Employed,Unemployed,Unemployment Rate (%)
Feb,0,191581,101,Atlantic _Feb,34001,Atlantic ,20-Feb,0,2020,2,Feb,20,1,34,1,Atlantic County, NJ,Feb,121288,113570,7718,6.4
Mar,15010,168966,108,Bergen _Feb,34003,Bergen ,20-Feb,0,2020,2,Feb,20,3,34,3,Bergen County, NJ,Feb,493995,477262,16733,3.4
Apr,118174,710316,115,Burlington _Feb,34005,Burlington ,20-Feb,0,2020,2,Feb,20,5,34,5,Burlington County, NJ,Feb,235262,226480,8782,3.7
May,159575,681015,122,Camden _Feb,34007,Camden ,20-Feb,0,2020,2,Feb,20,7,34,7,Camden County, NJ,Feb,258589,246814,11775,4.6
Jun,170908,762470,129,Cape May _Feb,34009,Cape May ,20-Feb,0,2020,2,Feb,20,9,34,9,Cape May County, NJ,Feb,41867,36790,5077,12.1
Jul,181012,668630,136,Cumberland _Feb,34011,Cumberland ,20-Feb,0,2020,2,Feb,20,11,34,11,Cumberland County, NJ,Feb,66290,61756,4534,6.8
Aug,191590,511273,143,Essex _Feb,34013,Essex ,20-Feb,0,2020,2,Feb,20,13,34,13,Essex County, NJ,Feb,375825,357005,18820,5
,,,150,Gloucester _Feb,34015,Gloucester ,20-Feb,0,2020,2,Feb,20,15,34,15,Gloucester County, NJ,Feb,153172,146539,6633,4.3
,,,157,Hudson _Feb,34017,Hudson ,20-Feb,0,2020,2,Feb,20,17,34,17,Hudson County, NJ,Feb,369783,356337,13446,3.6
,,,164,Hunterdon _Feb,34019,Hunterdon ,20-Feb,0,2020,2,Feb,20,19,34,19,Hunterdon County, NJ,Feb,65595,63361,2234,3.4
,,,171,Mercer _Feb,34021,Mercer ,20-Feb,0,2020,2,Feb,20,21,34,21,Mercer County, NJ,Feb,207301,199797,7504,3.6
,,,178,Middlesex _Feb,34023,Middlesex ,20-Feb,0,2020,2,Feb,20,23,34,23,Middlesex County, NJ,Feb,447281,431391,15890,3.6
,,,185,Monmouth _Feb,34025,Monmouth ,20-Feb,0,2020,2,Feb,20,25,34,25,Monmouth County, NJ,Feb,335263,322679,12584,3.8
,,,192,Morris _Feb,34027,Morris ,20-Feb,0,2020,2,Feb,20,27,34,27,Morris County, NJ,Feb,261338,252699,8639,3.3
,,,199,Ocean _Feb,34029,Ocean ,20-Feb,0,2020,2,Feb,20,29,34,29,Ocean County, NJ,Feb,281663,268725,12938,4.6
,,,206,Passaic _Feb,34031,Passaic ,20-Feb,0,2020,2,Feb,20,31,34,31,Passaic County, NJ,Feb,248840,236273,12567,5.1
,,,213,Salem _Feb,34033,Salem ,20-Feb,0,2020,2,Feb,20,33,34,33,Salem County, NJ,Feb,29831,28107,1724,5.8
,,,220,Somerset _Feb,34035,Somerset ,20-Feb,0,2020,2,Feb,20,35,34,35,Somerset County, NJ,Feb,174401,168315,6086,3.5
,,,227,Sussex _Feb,34037,Sussex ,20-Feb,0,2020,2,Feb,20,37,34,37,Sussex County, NJ,Feb,75572,72232,3340,4.4
,,,234,Union _Feb,34039,Union ,20-Feb,0,2020,2,Feb,20,39,34,39,Union County, NJ,Feb,281827,269659,12168,4.3
,,,241,Warren _Feb,34041,Warren ,20-Feb,0,2020,2,Feb,20,41,34,41,Warren County, NJ,Feb,57182,54793,2389,4.2
,,,102,Atlantic _Mar,34001,Atlantic ,20-Mar,31,2020,3,Mar,20,1,34,1,Atlantic County, NJ,Mar,120344,113532,6812,5.7
,,,109,Bergen _Mar,34003,Bergen ,20-Mar,2909,2020,3,Mar,20,3,34,3,Bergen County, NJ,Mar,494799,480046,14753,3
,,,116,Burlington _Mar,34005,Burlington ,20-Mar,202,2020,3,Mar,20,5,34,5,Burlington County, NJ,Mar,236872,229286,7586,3.2
,,,123,Camden _Mar,34007,Camden ,20-Mar,228,2020,3,Mar,20,7,34,7,Camden County, NJ,Mar,260261,249933,10328,4
,,,130,Cape May _Mar,34009,Cape May ,20-Mar,12,2020,3,Mar,20,9,34,9,Cape May County, NJ,Mar,41426,36903,4523,10.9
,,,137,Cumberland _Mar,34011,Cumberland ,20-Mar,18,2020,3,Mar,20,11,34,11,Cumberland County, NJ,Mar,66372,62405,3967,6
,,,144,Essex _Mar,34013,Essex ,20-Mar,1900,2020,3,Mar,20,13,34,13,Essex County, NJ,Mar,373831,356621,17210,4.6
